Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,
62,Turgay Bahadır,tr TUR,"FW,MF",tr Bursaspor,26,1984,6,2,300,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Emir Bajrami,se SWE,"FW,MF",nl Twente,22,1988,2,1,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Gareth Bale,wls WAL,"FW,MF",eng Tottenham Hotspur,21,1989,9,8,735,8.2,4,2,6,4,0,1,0,0,0.49,0.24,0.73,0.49,0.73,Matches
65,Éver Banega,ar ARG,MF,es Valencia,22,1988,4,4,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Júlio Baptista,br BRA,"FW,MF",it Roma,28,1981,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,Hélder Barbosa,pt POR,"FW,MF",pt Braga,23,1987,2,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
68,Philipp Bargfrede,de GER,MF,de Werder Bremen,21,1989,6,5,365,4.1,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
69,Sébastien Bassong,cm CMR,DF,eng Tottenham Hotspur,24,1986,4,3,281,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Michel Bastos,br BRA,"DF,MF",fr Lyon,26,1983,7,6,505,5.6,3,1,4,2,1,1,3,0,0.53,0.18,0.71,0.36,0.53,Matches
71,Rafael Bastos,br BRA,"FW,MF",ro CFR Cluj,25,1985,5,4,257,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Pablo Batalla,ar ARG,MF,tr Bursaspor,26,1984,3,1,147,1.6,1,0,1,1,0,0,0,0,0.61,0.00,0.61,0.61,0.61,Matches
73,Alexander Baumjohann,de GER,MF,de Schalke 04,23,1987,4,4,248,2.8,0,1,1,0,0,0,0,0,0.00,0.36,0.36,0.00,0.36,Matches
74,Nikita Bazhenov,ru RUS,"FW,MF",ru Spartak Moscow,25,1985,1,0,10,0.1,1,0,1,1,0,0,0,0,9.00,0.00,9.00,9.00,9.00,Matches
75,James Beattie,eng ENG,FW,sct Rangers,32,1978,2,0,29,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Bebé,cv CPV,"FW,MF",eng Manchester Utd,20,1990,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Dedi Ben Dayan,il ISR,"DF,MF",il Hapoel Tel Aviv,31,1978,4,4,360,4.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Yossi Benayoun,il ISR,MF,eng Chelsea,30,1980,1,1,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
