Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
69,Alessandro Birindelli,it ITA,DF,it Juventus,27,1974,13,3,984,10.9,1,2,3,1,0,0,2,0,0.09,0.18,0.27,0.09,0.27,Matches
70,Igor Bišćan,hr CRO,"DF,MF",eng Liverpool,24,1978,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Laurent Blanc,fr FRA,"DF,MF",eng Manchester Utd,36,1965,7,7,580,6.4,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches
72,Jocelyn Blanchard,fr FRA,MF,fr Lens,30,1972,4,4,332,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches
73,Lars Blixt,no NOR,DF,no Rosenborg,25,1976,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,László Bodnár,hu HUN,DF,ua Dynamo Kyiv,23,1979,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Frank de Boer,nl NED,DF,es Barcelona,32,1970,12,12,"1,078",12.0,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Mariano Bombarda,es ESP,FW,nl Feyenoord,29,1972,4,1,176,2.0,1,0,1,1,0,0,2,0,0.51,0.00,0.51,0.51,0.51,Matches
77,Davide Bombardini,it ITA,MF,it Roma,28,1974,3,0,43,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Mark van Bommel,nl NED,MF,nl PSV,25,1977,5,5,425,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Roberto Bonano,ar ARG,GK,es Barcelona,32,1970,8,8,750,8.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Leandro Bonfim,br BRA,"FW,MF",nl PSV,18,1984,3,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Vassilios Borbokis,gr GRE,DF,gr AEK Athens,33,1969,3,3,209,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Marco Borriello,it ITA,FW,it Milan,20,1982,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Paul Bosvelt,nl NED,"DF,MF",nl Feyenoord,32,1970,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Nourdin Boukhari,ma MAR,MF,nl Ajax,22,1980,4,1,116,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Wilfred Bouma,nl NED,DF,nl PSV,24,1978,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Jean-Alain Boumsong,fr FRA,DF,fr Auxerre,22,1979,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Titus Bramble,eng ENG,DF,eng Newcastle United,21,1981,6,6,477,5.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Harald Brattbakk,no NOR,FW,no Rosenborg,31,1971,6,6,441,4.9,1,1,2,1,0,0,1,0,0.20,0.20,0.41,0.20,0.41,Matches
89,Raúl Bravo,es ESP,DF,es Real Madrid,21,1981,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Thomas Brdarić,de GER,FW,de Leverkusen,27,1975,11,7,587,6.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
91,Jérémie Bréchet,fr FRA,"DF,MF",fr Lyon,22,1979,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
92,Cristian Brocchi,it ITA,MF,it Milan,26,1976,7,5,430,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Giovanni van Bronckhorst,nl NED,"DF,MF",eng Arsenal,27,1975,4,2,194,2.2,0,1,1,0,0,0,1,0,0.00,0.46,0.46,0.00,0.46,Matches
94,Wes Brown,eng ENG,DF,eng Manchester Utd,22,1979,5,5,449,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
95,Arnold Bruggink,nl NED,"FW,MF",nl PSV,25,1977,5,5,417,4.6,2,0,2,2,0,0,1,0,0.43,0.00,0.43,0.43,0.43,Matches
96,Thomas Buffel,be BEL,"FW,MF",nl Feyenoord,21,1981,6,6,516,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Gianluigi Buffon,it ITA,GK,it Juventus,24,1978,15,15,"1,41",15.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
98,Okan Buruk,tr TUR,MF,it Inter,28,1973,7,4,315,3.5,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches
99,Hans-Jörg Butt,de GER,GK,de Leverkusen,28,1974,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
100,Nicky Butt,eng ENG,"DF,MF",eng Manchester Utd,27,1975,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Maksim Buznikin,ru RUS,FW,ru Loko Moscow,25,1977,7,4,259,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
102,Valyantsin Byalkevich,by BLR,MF,ua Dynamo Kyiv,29,1973,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches
103,Kasper Bøgelund,dk DEN,DF,nl PSV,21,1980,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
104,Caçapa,br BRA,"DF,MF",fr Lyon,26,1976,6,6,540,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
105,Cafú,br BRA,DF,it Roma,32,1970,12,12,"1,02",11.3,0,1,1,0,0,0,0,0,0.00,0.09,0.09,0.00,0.09,Matches
